dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,n_rank,baseline_after_params,baseline_rank_gap,baseline_rendered,probe_mode,probe_max_passes,probe_inner_limit,probe_match_limit,probe_ban_length,probe_scheduler,probe_status,probe_runtime_ms,probe_peak_rss_mb,probe_passes,probe_total_size,probe_after_params,probe_rank_gap,probe_after_nodes,probe_rendered,probe_error,param_delta,rank_gap_delta,improved,reached_rank
pagie,24,Bingo,24,sympy,Bingo,0.2866350699692545 * log(x0 * x1) - 0.1177641535011456 * log(-4625426.158330705 / log(0.5182334989833757 / x1)) + 2.988374508357782,5.0,16.0,3.0,5.0,2.0,0.2866350699692545 * log(x0 * x1) + -0.1177641535011456 * log(-4625426.158330705 / (-0.65732936805086 - log(x1))) + 2.988374508357782,long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,98.4213330084458,106.796875,2.0,325.0,5.0,2.0,18.0,0.2866350699692545 * log(x0 * x1) + -0.1177641535011456 * log(-4625426.158330705 / (-0.65732936805086 - log(x1))) + 2.988374508357782,na,0.0,0.0,False,False
pagie,96,GOMEA,7,original,GP-GOMEA,1.918745 - 23802.792114 * (exp(-10.432 - x0 * x0) + exp(2.7 - 12.507 - x1 * x1)),5.0,17.0,3.0,4.0,1.0,23802.792114 * (8.061008098589655e-05 - 2.9474060102652252e-05 / exp(x0 * x0) - 5.506479363589452e-05 / exp(x1 * x1)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,48.59608301194385,100.5625,2.0,22.0,4.0,1.0,17.0,23802.792114 * (8.061008098589655e-05 - 2.9474060102652252e-05 / exp(x0 * x0) - 5.506479363589452e-05 / exp(x1 * x1)),na,0.0,0.0,False,False
kotanchek,14,Bingo,14,sympy,Bingo,(0.0506336679649604 * x1 + 0.008870475378536939) * log(2.0 * x1 - 9.541496629390634) / (-1.0 * x0 + 0.3460574947000204 * exp(x0) + 0.35735928587754767),5.0,18.0,3.0,5.0,2.0,0.0506336679649604 * (x1 + 0.1751892709940647) * log(2.0 * (x1 + -4.770748314695317)) / (0.35735928587754767 - x0 + 0.3460574947000204 * exp(x0)),long_backoff,12,360,50000,30,fresh_rematch_backoff,timeout,na,312.21875,na,na,na,na,na,na,timeout,na,na,False,False
kotanchek,14,Bingo,14,original,Bingo,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1))),5.0,20.0,3.0,5.0,2.0,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1))),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,35.42587498668581,100.953125,1.0,125.0,5.0,2.0,24.0,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1))),na,0.0,0.0,False,False
kotanchek,8,Bingo,8,sympy,Bingo,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),5.0,21.0,2.0,5.0,3.0,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,53.21687500691041,111.421875,1.0,297.0,5.0,3.0,26.0,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),na,0.0,0.0,False,False
kotanchek,27,Bingo,27,original,Bingo,-1.9305547847352778 * ((10.665734721501936 + x0 * (x0 * x0) * (x0 * (x0 * x0)) + 2.057897964881403 * x1 - x0) ** (-1.0) * (0.20556825888097427 + -2.9052829962789213 * x0 + exp(log(abs(x0))) - x1)),5.0,21.0,4.0,5.0,1.0,-1.9305547847352778 * ((10.665734721501936 + x0 * (x0 * x0) * (x0 * (x0 * x0)) + 2.057897964881403 * x1 - x0) ** (-1.0) * (-2.9052829962789213 * (x0 + -0.07075670739968036) + abs(x0) - x1)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,64.00124900392257,111.515625,2.0,145.0,5.0,1.0,34.0,-1.9305547847352778 * ((10.665734721501936 + x0 * (x0 * x0) * (x0 * (x0 * x0)) + 2.057897964881403 * x1 - x0) ** (-1.0) * (-2.9052829962789213 * (x0 + -0.07075670739968036) + abs(x0) - x1)),na,0.0,0.0,False,False
kotanchek,27,Bingo,27,sympy,Bingo,(3.678253204741038 * x0 + 1.9305547847352778 * x1 - 0.39686078577236517) / (x0 ** 6.0 - x0 + 2.057897964881403 * x1 + 10.665734721501936),5.0,23.0,4.0,5.0,1.0,(3.678253204741038 * x0 + 1.9305547847352778 * x1 - 0.39686078577236517) / (x0 ** 6.0 - x0 + 2.057897964881403 * x1 + 10.665734721501936),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,1326.0876660060603,202.28125,1.0,24529.0,5.0,1.0,21.0,(3.678253204741038 * x0 + 1.9305547847352778 * x1 - 0.39686078577236517) / (x0 ** 6.0 - x0 + 2.057897964881403 * x1 + 10.665734721501936),na,0.0,0.0,False,False
kotanchek,21,Bingo,21,sympy,Bingo,0.35701166729086253 * (-1.0 * x0 - exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * x0 + 0.35701166729086253 * exp(x0)) + log(x0 + exp(x0)) - 1.0299868162495163),5.0,24.0,3.0,4.0,1.0,-0.35701166729086253 * (x0 + exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * (x0 + exp(x0))) + log(x0 + exp(x0)) + -1.0299868162495163),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,38392.464624979766,887.453125,3.0,51.0,4.0,1.0,29.0,-0.35701166729086253 * (x0 + exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp((x0 + exp(x0)) / 2.8010289063894533) + log(x0 + exp(x0)) + -1.0299868162495163),na,0.0,0.0,False,False
pagie,20,Bingo,20,sympy,Bingo,0.00010507476032088567 * (819.22982975795 * x0 + x1 - 1.9180501896236644) * log(x0 * x1 * (448579.1335037871 * x0 ** 3.0 * x1 ** 3.0 + 569.384534287446)) / x0,5.0,27.0,3.0,5.0,2.0,log(x0 * x1 * (448579.1335037871 * x0 ** 3.0 * x1 ** 3.0 + 569.384534287446)) * (0.00010507476032088567 * ((-1.9180501896236644 + x1) / x0 + 819.22982975795)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,72.43566599208862,112.875,2.0,111.0,5.0,2.0,26.0,log(x0 * x1 * (448579.1335037871 * x0 ** 3.0 * x1 ** 3.0 + 569.384534287446)) * (0.00010507476032088567 * ((-1.9180501896236644 + x1) / x0 + 819.22982975795)),na,0.0,0.0,False,False
pagie,169,SBP,19,original,SBP,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825)),5.0,28.0,4.0,5.0,1.0,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,31.713167001726106,110.859375,1.0,53.0,5.0,1.0,28.0,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825)),na,0.0,0.0,False,False
pagie,175,SBP,25,original,SBP,0.015024 + 291401.986945 * (exp(-17.803 + x0) * ((x1 - 6.944) * x1) * ((x1 - 5.3) * x1 + x1) * exp(x0 - x0 * x0)),5.0,28.0,2.0,4.0,2.0,0.015024 + 0.005404404505733848 * exp(x0 - x0 * x0 + x0) * (((x1 + -5.3) * x1 + x1) * ((x1 + -6.944) * x1)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,252.02858398552053,121.40625,2.0,214.0,4.0,2.0,26.0,0.015024 + exp(x0 - x0 * x0 + x0) * (0.005404404505733848 * (((x1 + -5.3) * x1 + x1) * ((x1 + -6.944) * x1))),na,0.0,0.0,False,False
kotanchek,166,SBP,17,original,SBP,-0.025349 + 0.010788 * ((x0 + x0 - x0 * x0) * (-5.542 + x0) * (-5.542 + x0) + x1 + x1 + 12.501 + x0 + x1),5.0,29.0,3.0,4.0,1.0,0.010788 * (10.151259547645532 + (x1 + x0) + ((x0 + x0 - x0 * x0) * (-5.542 + x0) * (-5.542 + x0) + x1 + x1)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,95.74408401385881,107.21875,2.0,231.0,4.0,1.0,27.0,0.010788 * (10.151259547645532 + (x1 + x0) + ((x0 + x0 - x0 * x0) * (-5.542 + x0) * (-5.542 + x0) + x1 + x1)),na,0.0,0.0,False,False
kotanchek,150,SBP,1,original,SBP,0.053829 - 0.000194 * ((exp(x0 + 19.367 - x0 * x0) * exp(-13.819 + x0) - x1 * exp(x1)) * (-1.237 - x1) + exp(x0)),5.0,29.0,4.0,5.0,1.0,0.053829 - 0.000194 * ((exp(x0 + 19.367 - x0 * x0 + (-13.819 + x0)) - x1 * exp(x1)) * (-1.237 - x1) + exp(x0)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,56.82549998164177,111.09375,2.0,84.0,5.0,1.0,28.0,0.053829 - 0.000194 * ((exp(x0 + 19.367 - x0 * x0 + (-13.819 + x0)) - x1 * exp(x1)) * (-1.237 - x1) + exp(x0)),na,0.0,0.0,False,False
pagie,23,Bingo,23,original,Bingo,-5.64393372152411 + 0.002708862303985314 * x1 ** (-1.0) + -0.06435725235582418 * ((-2311.5964730737646 - x0) * log(abs(3566206920.7839065 * (x0 ** (-1.0) * x1 ** (-1.0)))) ** (-1.0)),5.0,29.0,4.0,5.0,1.0,-5.64393372152411 + 0.002708862303985314 * x1 ** (-1.0) + -0.06435725235582418 * ((-2311.5964730737646 - x0) * log(abs(3566206920.7839065 * (x0 ** (-1.0) * x1 ** (-1.0)))) ** (-1.0)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,55.03216601209715,111.203125,1.0,341.0,5.0,1.0,27.0,-5.64393372152411 + 0.002708862303985314 * x1 ** (-1.0) + -0.06435725235582418 * ((-2311.5964730737646 - x0) * log(abs(3566206920.7839065 * (x0 ** (-1.0) * x1 ** (-1.0)))) ** (-1.0)),na,0.0,0.0,False,False
pagie,151,SBP,2,original,SBP,0.166642 - 0.018385 * (x0 * x1 + ((-5.488 + x1) * (x1 + 0.546) + x1) * x1 + x0 * x0 + exp(-13.828 * x0)),5.0,30.0,2.0,5.0,3.0,0.166642 - 0.018385 * (x1 * ((-5.488 + x1) * (x1 + 0.546) + x1 + x0) + x0 * x0 + exp(-13.828 * x0)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,91.00491701974533,111.421875,2.0,129.0,5.0,3.0,26.0,0.166642 - 0.018385 * (x1 * ((-5.488 + x1) * (x1 + 0.546) + x1 + x0) + x0 * x0 + exp(-13.828 * x0)),na,0.0,0.0,False,False
kotanchek,20,Bingo,20,original,Bingo,-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 * x0) * ((-15.272972634101004 + -7.53747357012547 * x1) * exp(x0 * x0) ** (-1.0))),5.0,32.0,4.0,5.0,1.0,-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 * x0) * (-7.53747357012547 * (x1 + 2.026272131107024) * exp(x0 * x0) ** (-1.0))),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,72.39325001137331,101.21875,2.0,121.0,5.0,1.0,24.0,-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 * x0) * (-7.53747357012547 * (x1 + 2.026272131107024) * exp(x0 * x0) ** (-1.0))),na,0.0,0.0,False,False
kotanchek,190,SRjl,11,original,PySR,exp(x0 + -0.21546645087388747 - x0 * x0 - (x1 - x0)) * ((x1 + (exp((x1 - x1 * x1 + (x1 + 0.7393127343318426)) * x1) + x1 * x1 - x1) * -0.07637600437144379) * 0.7393127343318426 * (x1 + x1 * 0.05221153846822916)),5.0,43.0,3.0,5.0,2.0,exp(x0 + -0.21546645087388747 - x0 * x0 - (x1 - x0)) * (-0.05646575262919287 * (x1 + x1 * 0.05221153846822916) * (exp((x1 - x1 * x1 + (x1 + 0.7393127343318426)) * x1) + x1 * x1 - x1 + x1 / -0.07637600437144379)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,105.38658397854306,107.3125,2.0,236.0,5.0,2.0,43.0,exp(x0 + -0.21546645087388747 - x0 * x0 - (x1 - x0)) * (-0.05646575262919287 * (x1 + x1 * 0.05221153846822916) * (exp((x1 - x1 * x1 + (x1 + 0.7393127343318426)) * x1) + x1 * x1 - x1 + x1 / -0.07637600437144379)),na,0.0,0.0,False,False
kotanchek,195,SRjl,16,sympy,PySR,(0.6193677368705359 * x0 + x1) * (x0 * (x0 + x1 - exp(x1) - 3.302672572491928) + x1 ** 2.0 * (0.4943409476627152 - 2.0 * x1)) / ((x0 + x1 - exp(x1) - 3.302672572491928) * (-1.0 * x1 + exp(x0 ** 2.0) + exp(x1) + 2.853886507925958)),5.0,49.0,4.0,5.0,1.0,(x1 - -0.6193677368705359 * x0) * (x0 * (x0 + x1 - exp(x1) - 3.302672572491928) - 2.0 * (x1 + -0.2471704738313576) * x1 ** 2.0) / ((x0 + x1 - exp(x1) - 3.302672572491928) * (exp(x0 ** 2.0) - x1 - (-2.853886507925958 - exp(x1)))),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,38677.43083299138,438.9375,2.0,120.0,5.0,1.0,47.0,(x0 / 1.614549710084473 + x1) * (x0 * (x0 + x1 - exp(x1) + -3.302672572491928) + x1 ** 2.0 * (0.4943409476627152 + -2.0 * x1)) / ((x0 + x1 - exp(x1) + -3.302672572491928) * (exp(x1) - x1 + exp(x0 ** 2.0) + 2.853886507925958)),na,0.0,0.0,False,False
pagie,109,GOMEA,20,original,GP-GOMEA,1.949837 - 1e-05 * (exp(9.658 + 1.885 - x1 * x1) + exp(10.589 + 1.026 - x0 * x0)),6.0,17.0,3.0,4.0,1.0,1e-05 * (194983.69999999998 - 103053.13417752837 / exp(x1 * x1) - 110746.6013664062 / exp(x0 * x0)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,48.30016702180728,111.34375,2.0,22.0,4.0,1.0,17.0,1e-05 * (194983.69999999998 - 103053.13417752837 / exp(x1 * x1) - 110746.6013664062 / exp(x0 * x0)),na,0.0,0.0,False,False
pagie,111,GOMEA,22,original,GP-GOMEA,1.93893 - 5.4461 * (exp(-0.454 - 1.011 - x1 * x1) + exp(-1.344 - 0.479 - x0 * x0)),6.0,17.0,3.0,4.0,1.0,5.4461 * (0.3560217403279411 - 0.23107799147733024 / exp(x1 * x1) - 0.16154040206838896 / exp(x0 * x0)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,54.12833401351236,106.6875,2.0,22.0,4.0,1.0,17.0,5.4461 * (0.3560217403279411 - 0.23107799147733024 / exp(x1 * x1) - 0.16154040206838896 / exp(x0 * x0)),na,0.0,0.0,False,False
pagie,100,GOMEA,11,original,GP-GOMEA,1.950391 - 2.1e-05 * (exp(13.012 - 2.124 - x0 * x0) + exp(-1.572 + 12.461 - x1 * x1)),6.0,17.0,3.0,4.0,1.0,2.1e-05 * (92875.76190476191 - 53530.1325732352 / exp(x0 * x0) - 53583.68947979861 / exp(x1 * x1)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,55.00687501626089,105.96875,2.0,22.0,4.0,1.0,17.0,2.1e-05 * (92875.76190476191 - 53530.1325732352 / exp(x0 * x0) - 53583.68947979861 / exp(x1 * x1)),na,0.0,0.0,False,False
pagie,92,GOMEA,3,original,GP-GOMEA,1.950381 - 42823.103036 * (exp(11.065 - 21.622 - x0 * x0) + exp(-3.089 - 7.475 - x1 * x1)),6.0,17.0,3.0,4.0,1.0,42823.103036 * (4.554506473667678e-05 - 2.6010766747182815e-05 / exp(x0 * x0) - 2.582932715938754e-05 / exp(x1 * x1)),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,48.52766601834446,107.25,2.0,22.0,4.0,1.0,17.0,42823.103036 * (4.554506473667678e-05 - 2.6010766747182815e-05 / exp(x0 * x0) - 2.582932715938754e-05 / exp(x1 * x1)),na,0.0,0.0,False,False
kotanchek,8,Bingo,8,original,Bingo,0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * ((-1.3864562418418644 + x1) * (-1.3864562418418644 + x1)) - x0)) * exp(x0) ** (-1.0))),6.0,21.0,2.0,6.0,4.0,0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * ((-1.3864562418418644 + x1) * (-1.3864562418418644 + x1)) - x0)) * exp(x0) ** (-1.0))),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,32.71204198244959,110.90625,1.0,91.0,6.0,4.0,26.0,0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * ((-1.3864562418418644 + x1) * (-1.3864562418418644 + x1)) - x0)) * exp(x0) ** (-1.0))),na,0.0,0.0,False,False
kotanchek,26,Bingo,26,sympy,Bingo,(((0.5185123293134022 * x0 + 0.13470217521610287) * (0.0008622481242864235 * exp(x0) - 2.0 * log(x0 + exp(x0))) - 0.11848913269441189 * exp(x0)) * (0.6964203985908678 * exp(x0) - 2.0 * log(x0 + exp(x0))) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0),6.0,21.0,5.0,6.0,1.0,(0.23697826538882377 * (log(x0 + exp(x0)) + -0.3482101992954339 * exp(x0)) * (exp(x0) + 8.752065569602333 * (log(x0 + exp(x0)) + exp(x0) / -2319.517948102414) * (x0 + 0.25978586737652176)) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,17855.067833006615,733.78125,2.0,48840.0,6.0,1.0,44.0,(0.23697826538882377 * (log(x0 + exp(x0)) + -0.3482101992954339 * exp(x0)) * (exp(x0) + 8.752065569602333 * (log(x0 + exp(x0)) + exp(x0) / -2319.517948102414) * (x0 + 0.25978586737652176)) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0),na,0.0,0.0,False,False
pagie,30,EPLEX,1,sympy,EPLEX,log(abs(log(abs(0.170714251278031 / ((x0 ** 2.0 + 0.5979311721486) * ((x1 + 0.178084) * (1.077 * x1 + 0.270967476105117) + 0.497005071270832)))))),6.0,23.0,4.0,5.0,1.0,log(abs(log(abs(0.1585090541114494 / ((x0 ** 2.0 + 0.5979311721486) * ((x1 + 0.178084) * (x1 + 0.2515946853343705) + 0.46147174676957475)))))),long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,50.30545801855624,111.109375,2.0,34.0,5.0,1.0,21.0,log(abs(log(abs(0.1585090541114494 / ((x0 ** 2.0 + 0.5979311721486) * ((x1 + 0.178084) * (x1 + 0.2515946853343705) + 0.46147174676957475)))))),na,0.0,0.0,False,False
pagie,23,Bingo,23,sympy,Bingo,0.06435725235582418 * x0 / log(3566206920.7839065 / (x0 * x1)) - 5.64393372152411 + 148.7679975624414 / log(3566206920.7839065 / (x0 * x1)) + 0.002708862303985314 / x1,6.0,23.0,4.0,5.0,1.0,(148.7679975624414 + 0.06435725235582418 * x0) / (21.99476838072296 - log(x0 * x1)) + -5.64393372152411 + 0.002708862303985314 / x1,long_backoff,12,360,50000,30,fresh_rematch_backoff,ok,85.95187502214685,109.34375,3.0,91.0,5.0,1.0,18.0,(148.7679975624414 + 0.06435725235582418 * x0) / (21.99476838072296 - log(x0 * x1)) + -5.64393372152411 + 0.002708862303985314 / x1,na,0.0,0.0,False,False
